id,branch,message,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
04f0099dc4c1a3391cfc64bee5ec89e54c3160a5,master,Bump version (0.64.10),['8ff568798d60d709493128d10cdbf988e969259c'],brave-browser-releases,2019-03-22 12:00:24+00:00,brave-browser-releases,2019-03-22 12:00:24+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
cc3da981e29473a260131ebf584ebe7d7f081a79,master,"Upgrade from Chromium ""74.0.3729.22"" to Chromium 74.0.3729.28",['04f0099dc4c1a3391cfc64bee5ec89e54c3160a5'],brave-browser-releases,2019-03-22 19:04:20+00:00,brave-browser-releases,2019-03-22 19:04:20+00:00,1,1,1,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
4a47a8dcd11c9e002e45c5a55db072fb03dec9d7,master,Bump version (0.64.11),['22001ccc0e5a3779da7b6dbf16c9ef8d140169bb'],brave-browser-releases,2019-03-23 07:55:44+00:00,brave-browser-releases,2019-03-23 07:55:44+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
4a47a8dcd11c9e002e45c5a55db072fb03dec9d7,master,Bump version (0.64.11),['22001ccc0e5a3779da7b6dbf16c9ef8d140169bb'],brave-browser-releases,2019-03-23 07:55:44+00:00,brave-browser-releases,2019-03-23 07:55:44+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
f6778305b5489bab0ee0b2b9e014dfbe6c8498ca,master,Bump version (0.64.12),['4a47a8dcd11c9e002e45c5a55db072fb03dec9d7'],brave-browser-releases,2019-03-23 12:00:22+00:00,brave-browser-releases,2019-03-23 12:00:22+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
f6778305b5489bab0ee0b2b9e014dfbe6c8498ca,master,Bump version (0.64.12),['4a47a8dcd11c9e002e45c5a55db072fb03dec9d7'],brave-browser-releases,2019-03-23 12:00:22+00:00,brave-browser-releases,2019-03-23 12:00:22+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
bb924bf73dcb7c6134a11976aef115463b4574f7,master,Bump version (0.64.13),['f6778305b5489bab0ee0b2b9e014dfbe6c8498ca'],brave-browser-releases,2019-03-23 17:32:59+00:00,brave-browser-releases,2019-03-23 17:32:59+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
bb924bf73dcb7c6134a11976aef115463b4574f7,master,Bump version (0.64.13),['f6778305b5489bab0ee0b2b9e014dfbe6c8498ca'],brave-browser-releases,2019-03-23 17:32:59+00:00,brave-browser-releases,2019-03-23 17:32:59+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
252edc5b7a3632d7cf4ccd75b4b9086276415256,master,"Revert ""Merge pull request #3857 from brave/74.0.3729.28_master_21""This reverts commit 22001ccc0e5a3779da7b6dbf16c9ef8d140169bb reversingchanges made to 04f0099dc4c1a3391cfc64bee5ec89e54c3160a5.",['bb924bf73dcb7c6134a11976aef115463b4574f7'],bsclifton,2019-03-23 21:31:09+00:00,bsclifton,2019-03-23 21:31:09+00:00,1,1,1,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
f19199cb4097d0975bfebf6b43e6e5c211f0fdf9,master,Bump version (0.64.14),['41d7f38e87b66257ff879e3be6430b1496dcea15'],brave-browser-releases,2019-03-23 21:48:18+00:00,brave-browser-releases,2019-03-23 21:48:18+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
